Accuracy,Precision,Recall,F1 Score,Algoritma,Yapılandırma
0.825136612021858,0.7791580400276054,0.825136612021858,0.7878674171357097,KNN,K=3
0.8292349726775956,0.7702689402327698,0.8292349726775956,0.7735106651013439,KNN,K=7
0.8224043715846995,0.7376629422718808,0.8224043715846995,0.761295822676897,KNN,K=11
0.7056451612903226,0.7056591651366285,0.7056451612903226,0.7056480329047677,MLP,"1 gizli katman, 32 nöron"
0.7919354838709678,0.798317350351277,0.7919354838709678,0.7906824113726781,MLP,"2 gizli katman, 32'şer nöron"
0.7782258064516129,0.7901386009585566,0.7782258064516129,0.7757232520799884,MLP,"3 gizli katman, 32'şer nöron"
0.8060109289617486,0.7675402675402675,0.8060109289617486,0.7813757531292381,Naive Bayes,Varsayılan
